Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,Source Used for Orbital Data,Launch Year
USA 119,USA,USA,National Reconnaissance Office (NRO),Military,Communications,Unknown,Elliptical,Molniya,0.0,"1,200","11,600",0.40700000000000003,63.4,240,,,,5/12/1996,0.0,National Reconnaissance Laboratory,USA,Vandenberg AFB,Titan IV,1996-029A,23893,Provides tactical intelligence focused support to broad community of users consisting of uniformed military services and government agencies for both exercises and operations.,GS,1996
SMAP,USA,USA,National Aeronautics and Space Administration (NASA),Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0.0,660,686,0.00185,98.13,98.21,,,,1/31/2015,3.0,Jet Propulsion Laboratory (NASA),USA,Vandenberg AFB,Delta 2,2015-003A,40376,"SMAP provide the most accurate, highest-resolution global measurements of soil moisture ever obtained from space and will detect whether the ground is frozen or thawed. ",SC - ASCR,2015
SMDC-ONE 1.1,USA,USA,US Army Space and Missile Defense Command,Military,Technology Development,Unknown,LEO,Non-Polar Inclined,0.0,495,791,0.0211,64.6,97.5,5,,,9/13/2012,0.0,Miltec,USA,Vandenberg AFB,Atlas 5,2012-048J,38766,Technology experiments under the STP (Space Test Program).,ZARYA,2012
SMDC-ONE 1.2,USA,USA,US Army Space and Missile Defense Command,Military,Technology Development,Unknown,LEO,Non-Polar Inclined,0.0,483,789,0.0218,64.6,97.4,3,,,9/13/2012,0.0,Miltec,USA,Vandenberg AFB,Atlas 5,2012-048B,38759,Mission unknown.,ZARYA,2012
SMDC-ONE 2.3,NR,USA,US Army Space and Missile Defense Command,Military,Technology Development,Unknown,LEO,Polar,0.0,443,886,0.0315,120.3,98,5,,,12/6/2013,0.0,Miltec,USA,Vandenberg AFB,Atlas 5,2013-072N,39474,Possibly testing use for tactical 'Beyond Line of Sight' communications.,ZARYA estimated,2013
SMDC-ONE 2.4,NR,USA,US Army Space and Missile Defense Command,Military,Technology Development,Unknown,LEO,Polar,0.0,443,886,0.0315,120.3,98,5,,,12/6/2013,0.0,Miltec,USA,Vandenberg AFB,Atlas 5,2013-072L,39472,Possibly testing use for tactical 'Beyond Line of Sight' communications.,ZARYA estimated,2013
SMOG-P,NR (3/20),Hungary,Budapest University of Technology and Economics,Civil,Earth Observation,Earth Science,LEO,Sun-Synchronous,0.0,326,370,0.0032700000000000003,97.0,92,1,,,12/6/2019,0.0,Budapest University of Technology and Economics,Hungary,Rocket Lab Launch Complex 1,Electron,2019-084J,44832,5 cm by 5 cm picosat. Spectrum analyzer to measure man-made electromagnetic pollution (elextrosmog). Novel spectrum monitoring payload to make a global map of spectrum usage. Will undertake DVB-T band spectrum monitoring. ,JMSatcat/3_20,2019
SMOS,ESA,ESA,Centre National d'Etudes Spatiales (CNES)/European Space Agency (ESA),Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0.0,759,760,7.01e-05,98.4,100,658,630,"1,065",11/2/2009,3.0,Thales Alenia Space,France,Plesetsk Cosmodrome,Breeze KM,2009-059A,36036,Mission to measure sea surface salinity and soil moisture on a global scale.,www.satellitedebris.net 12/12,2009
SNaP-3 Alice,USA,USA,US Army Space and Missile Defense Command,Military,Technology Development,Unknown,LEO,Non-Polar Inclined,0.0,495,801,0.0218,64.78,97.68,5,,,10/8/2015,0.0,US Army Space and Missile Defense Command,USA,Cape Canaveral,Atlas 5,2015-058G,40970,Technology development for user software-defined radios for beyond-line-of-sight communication in remote areas.,JM/12_15,2015
SNaP-3 Eddie,USA,USA,US Army Space and Missile Defense Command,Military,Technology Development,Unknown,LEO,Non-Polar Inclined,0.0,496,801,0.0217,64.78,97.69,5,,,10/8/2015,0.0,US Army Space and Missile Defense Command,USA,Cape Canaveral,Atlas 5,2015-058J,40972,Technology development for user software-defined radios for beyond-line-of-sight communication in remote areas.,JM/12_15,2015
SNaP-3 Jimi,USA,USA,US Army Space and Missile Defense Command,Military,Technology Development,Unknown,LEO,Non-Polar Inclined,0.0,495,801,0.0218,64.78,97.67,5,,,10/8/2015,0.0,US Army Space and Missile Defense Command,USA,Cape Canaveral,Atlas 5,2015-058M,40975,Technology development for user software-defined radios for beyond-line-of-sight communication in remote areas.,JM/12_15,2015
SNaP-3-1,NR,USA,US Southern Command,Military,Communications,Unknown,LEO,Polar,0.0,443,886,0.0315,120.3,98,,,,12/6/2013,0.0,Naval Post-Graduate School,USA,Vandenberg AFB,Atlas 5,2013-072G,39468,Communications experiments.,ZARYA estimated,2013
S-Net-1,Germany,Germany,Technical University Berlin,Civil,Technology Development,Unknown,LEO,Sun-Synchronous,0.0,572,588,0.00115,97.7,96.2,9,,,1/31/2018,1.0,Technical University Berlin,Germany,Vostochny Cosmodrome,Soyuz 2.1a,2018-014G,43186,Demonstrate an S-band inter-satellite communications package that could allow future constellations of spacecraft to conduct autonomous missions.,JMSatcat/5_18,2018
S-Net-2,Germany,Germany,Technical University Berlin,Civil,Technology Development,Unknown,LEO,Sun-Synchronous,0.0,571,588,0.00122,97.7,96.2,9,,,1/31/2018,1.0,Technical University Berlin,Germany,Vostochny Cosmodrome,Soyuz 2.1a,2018-014H,43187,,JMSatcat/5_18,2018
S-Net-3,Germany,Germany,Technical University Berlin,Civil,Technology Development,Unknown,LEO,Sun-Synchronous,0.0,571,588,0.00122,97.7,96.2,9,,,1/31/2018,1.0,Technical University Berlin,Germany,Vostochny Cosmodrome,Soyuz 2.1a,2018-014J,43188,,JMSatcat/5_18,2018
S-Net-4,Germany,Germany,Technical University Berlin,Civil,Technology Development,Unknown,LEO,Sun-Synchronous,0.0,571,588,0.00122,97.7,96.2,9,,,1/31/2018,1.0,Technical University Berlin,Germany,Vostochny Cosmodrome,Soyuz 2.1a,2018-014K,43189,,JMSatcat/5_18,2018
SNUGLITE,NR (11/19),South Korea,Seoul National University,Civil,Technology Development,Unknown,LEO,Sun-Synchronous,0.0,572,591,0.00137,97.7,96.3,3,,,12/3/2018,0.0,Seoul National University,South Korea,Vandenberg AFB,Falcon 9,2018-099AC,43784,Technology developmen and amateur radio.,JMSatcat/3_19,2018
SNUSat-2,NR (11/19),South Korea,Seoul National University,Civil,Technology Development,Unknown,LEO,Sun-Synchronous,0.0,572,588,0.00115,97.7,96.3,4,,,12/3/2018,0.0,Seoul National University,South Korea,Vandenberg AFB,Falcon 9,2018-099AA,43782,Development mission for disaster monitoring using wide-angle and high resolution cameras. Also carries other experiments.,JMSatcat/3_19,2018
SOCRATES,Japan,Japan,National Institute of Information and Communications Technology (JPN),Commercial,Technology Development,Unknown,LEO,Sun-Synchronous,0.0,618,629,0.000786,97.87,97.17,48,,100,5/24/2014,0.0,"Advanced Engineering Services Company, Ltd.",Japan,Tanegashima Space Center,H2A,2014-029C,39768,Development of new satellite bus.,ZARYA,2014
SOHLA 1,Japan,Japan,Astrotech SOHLA,Civil,Technology Development,Unknown,LEO,Sun-Synchronous,0.0,657,665,0.0005690000000000001,98.1,98,50,,,1/23/2009,0.0,Space Oriented Higashiosaka Leading Association,Japan,Tanegashima Space Center,H2A,2009-002E,33496,Observe lightening.,www.satellitedebris.net 12/12,2009
SOKRAT,NR (11/19),Russia,Moscow State University,Civil,Space Science,Unknown,LEO,Sun-Synchronous,0.0,515,546,0.00225,97.5,95.2,4,,,7/5/2019,0.0,Moscow State University,Russia,Vostochny Cosmodrome,Soyuz 2.1b,2019-038U,44404,Foton-Amur instrument consisting of charged particle and gamma ray detectors to study space weather phenomena.,JMSatcat/11_19,2019
SONATE,NR (11/19),Germany,University of Würzburg,Civil,Technology Development,Unknown,LEO,Sun-Synchronous,0.0,514,546,0.00232,97.5,95.2,1,,,7/5/2019,0.0,University of Würzburg,Germany,Vostochny Cosmodrome,Soyuz 2.1b,2019-038Q,44400,Technology demonstrator for highly autonomous payloads.,JMSatcat/11_19,2019
SOlar Radiation and Climate Experiment (SORCE),USA,USA,"National Aeronautics and Space Administration (NASA) Earth Science Office/Laboratory for Atmospheric and Space Physics, Univ. of Colorado",Government/Civil,Space Science,Unknown,LEO,Non-Polar Inclined,0.0,600,633,0.00236,40.0,97,315,290,348,1/25/2003,6.0,Orbital Sciences Corp.,USA,Cape Canaveral,Pegasus XL,2003-004A,27651,Monitor Sun; improve accuracy of measurement of solar energy.,www.satellitedebris.net 12/12,2003
SORTIE,NR (3/20),USA,COSMIAC (Configurable Space Microsystems Innovations & Applications Center) ,Government,Space Science,Unknown,LEO,Non-Polar Inclined,0.0,409,419,0.000737,51.6,92.8,9,,,2/19/2020,0.0,COSMIAC and ASTRA LLC,USA,International Space Station,Nanorack Deployer,1998-067RH,45264,Studies in the ionosphere on plasma densities and waves.,JMSatcat/7_20,2020
South Asia Satellite,India,India,South Asian Association for Regional Cooperation,Government,Communications,Unknown,GEO,Unknown,48.0,"35,775","35,798",0.000273,0.0,1436.11,"2,230",,,5/6/2017,12.0,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,GSLV,2017-024A,42695,"Will give free access to users in India, Bangladesh, Sri Lanka, the Maldives, Nepal, Bhutan and Afghanistan",JMGEO/9_17,2017
SpaceBEE-1,USA,USA,Swarm Technologies,Commercial,Communications,Unknown,LEO,Sun-Synchronous,0.0,493,505,0.0008730000000000001,97.5,94.5,1,,,1/11/2018,0.0,Swarm Technologies,USA,Satish Dhawan Space Centre,PSLV,2018-004AH,43142,,JMSatcat/5_18,2018
SpaceBEE-2,USA,USA,Swarm Technologies,Commercial,Communications,Unknown,LEO,Sun-Synchronous,0.0,493,505,0.0008730000000000001,97.5,94.5,1,,,1/11/2018,0.0,Swarm Technologies,USA,Satish Dhawan Space Centre,PSLV,2018-004AG,43141,,JMSatcat/5_18,2018
SpaceBEE-3,USA,USA,Swarm Technologies,Commercial,Communications,Unknown,LEO,Sun-Synchronous,0.0,493,505,0.0008730000000000001,97.5,94.5,1,,,1/11/2018,0.0,Swarm Technologies,USA,Satish Dhawan Space Centre,PSLV,2018-004AF,43140,,JMSatcat/5_18,2018
SpaceBEE-4,USA,USA,Swarm Technologies,Commercial,Communications,Unknown,LEO,Sun-Synchronous,0.0,493,505,0.0008730000000000001,97.5,94.5,1,,,1/11/2018,0.0,Swarm Technologies,USA,Satish Dhawan Space Centre,PSLV,2018-004AE,43139,"A quarter of the size of a one unit cubesat--4"" x 4"" x 1"". Reportedly launched without FCC permission. Concerns about space junk and untrackability. ",JMSatcat/5_18,2018
SpaceBEE-5,NR (11/19),USA,Swarm Technologies,Commercial,Communications,Unknown,LEO,Sun-Synchronous,0.0,573,590,0.00122,97.7,96.3,2,,,12/3/2018,0.0,Swarm Technologies,USA,Vandenberg AFB,Falcon 9,2018-099BM,43817,Test the satellites for low-rate Internet of Things (IoT) network connectivity.,JMSatcat/3_19,2018
SpaceBEE-6,NR (11/19),USA,Swarm Technologies,Commercial,Communications,Unknown,LEO,Sun-Synchronous,0.0,573,589,0.00115,97.7,96.3,2,,,12/3/2018,0.0,Swarm Technologies,USA,Vandenberg AFB,Falcon 9,2018-099BN,43818,Test the satellites for low-rate Internet of Things (IoT) network connectivity.,JMSatcat/3_19,2018
SpaceBEE-7,NR (11/19),USA,Swarm Technologies,Commercial,Communications,Unknown,LEO,Sun-Synchronous,0.0,573,589,0.00115,97.7,96.3,2,,,12/3/2018,0.0,Swarm Technologies,USA,Vandenberg AFB,Falcon 9,2018-099BL,43816,Test the satellites for low-rate Internet of Things (IoT) network connectivity.,JMSatcat/3_19,2018
SpaceBEE-8,NR (11/19),USA,Swarm Technologies,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,447,460,0.000953,45.0,93.6,2,,,6/29/2019,0.0,Swarm Technologies,USA,Rocket Lab Launch Complex 1,Electron,2019-037G,44371,,JMSatcat/11_19,2019
SpaceBEE-9,NR (11/19),USA,Swarm Technologies,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,446,460,0.00103,45.0,93.6,2,,,6/29/2019,0.0,Swarm Technologies,USA,Rocket Lab Launch Complex 1,Electron,2019-037F,44370,,JMSatcat?11_19,2019
Spaceway 3,USA,USA,Hughes Space and Communications Co. ,Commercial,Communications,Unknown,GEO,Unknown,-94.93,"35,785","35,787",2.37e-05,0.06,1436.1,"6,100","3,655",,8/14/2007,12.0,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5 ECA,2007-036A,32018,,JM/12_08,2007
Spaceway F2,USA,USA,"DirecTV, Inc.",Commercial,Communications,Unknown,GEO,Unknown,-99.08,"35,785","35,787",2.37e-05,0.04,1436.1,"5,993","3,691","12,300",11/16/2005,12.5,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5 ECA,2005-046B,28903,17 Ku-band transponders; high definition.,JM/12_08,2005
Spainsat,NR,Spain,Hisdesat/Ministry of Defense,Military,Communications,Unknown,GEO,Unknown,-30.0,"35,745","35,826",0.0009609999999999999,0.06,1436.1,"3,680","1,467",,3/11/2006,0.0,Space Systems/Loral,USA,Guiana Space Center,Ariane 5,2006-007A,28946,Secure communications satellite for Spanish Ministry of Defense; both X and Ku-band.,JM/12_08,2006
SPARC-1,NR (11/19),USA/Sweden,Air Force Research Laboratory (AFRL)/Swedish Defense Materiel Administration,Military,Technology Development,Unknown,LEO,Non-Polar Inclined,0.0,493,511,0.00131,40.02,94.7,8,,,5/5/2019,0.0,ÅAC Microtecs,Sweden,Rocket Lab Launch Complex 1,Electron,2019-026B,44226,"Test miniaturized avionics, a software-defined radio system, and a visible camera.",JMSatcat/11_19,2019
Spark-1,China,China,Shanghai Engineering Center for Microsatellites,Government,Earth Observation,Hyperspectral Imaging,LEO,Sun-Synchronous,0.0,690,725,0.00247,98.15,98.94,50,,,12/21/2016,0.0,Shanghai Engineering Center for Microsatellites,China,Jiuquan Satellite Launch Center,Long March 2D,2016-081C,41900,Hyperspectral imaging,JMSatcat,2016
Spark-2,China,China,Shanghai Engineering Center for Microsatellites,Government,Earth Observation,Hyperspectral Imaging,LEO,Sun-Synchronous,0.0,690,727,0.0026100000000000003,98.15,98.96,50,,,12/21/2016,0.0,Shanghai Engineering Center for Microsatellites,China,Jiuquan Satellite Launch Center,Long March 2D,2016-081D,41901,Hyperspectral imaging,JM Satcat,2016
SPATIUM-I,NR,Japan/Singapore,Kyushu Institute of Technology (KIT)/Nanyang Technological University (NTU),Civil,Technology Development,Unknown,LEO,Non-Polar Inclined,0.0,400,406,0.000443,51.6,92.6,3,,,10/6/2018,0.0,Kyushu Institute of Technology (Kyutech)/Nanyang Technological University (NTU),Japan/Singapore,International Space Station,Manual Deployment,1998-067PN,43638,Demonstrate a new technique for ionosphere mapping,JMSatcat/3_19,2018
Spektr-R/RadioAstron,Russia,Multinational,Astro Space Center of Moscow/Russian Academy of Sciences,Government,Space Science,Unknown,Elliptical,Cislunar,0.0,"1,000","330,000",0.9570000000000001,51.46,"11,520","3,660",,,7/18/2011,5.0,Lavochkin,Russia,Baikonur Cosmodrome,Zenit 3SLBF/Fregat SB,2011-037A,37755,"Featuring a 30-foot (10-meter) wide antenna, ""The aim  is to use the space telescope to conduct interferometer observations to obtain images, coordinates, motions and evolution of angular structure of different radio emitting objects in the universe.""",SC - ASCR,2011
SPIRALE-A,France,France,Ministry of Defense/General Delegation for Ordnance (DGA),Military,Technology Development,Infrared Imaging,Elliptical,Unknown,0.0,240,"31,342",0.7020000000000001,2.0,547,117,,,2/11/2009,0.0,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,2009-008C,33751,Demonstration program designed to collect infrared images of terrestrial backgrounds and analyze them to assess the detectability of ballistic missiles during their powered phase. It will pave the way for a future ballistic missile warning system.,SC - ASCR,2009
SPIRALE-B,France,France,Ministry of Defense/General Delegation for Ordnance (DGA),Military,Technology Development,Infrared Imaging,Elliptical,Unknown,0.0,389,"17,480",0.5579999999999999,2.1,314,117,,,2/11/2009,0.0,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,2009-008D,33752,Demonstration program designed to collect infrared images of terrestrial backgrounds and analyze them to assess the detectability of ballistic missiles during their powered phase. It will pave the way for a future ballistic missile warning system.,SC - ASCR,2009
SpooQy-1,NR (11/19),Singapore,National University of Singapore,Civil,Space Science,Unknown,LEO,Non-Polar Inclined,0.0,405,415,0.000737,51.6,92.7,4,,,6/17/2019,0.0,"National University of Singapore, Center for Quantum Technologies",Singapore,International Space Station,Japanese Experiment Module,1998-067QH,44332,"Will attempt to demonstrate quantum entanglement using a CubeSat in Low Earth Orbit (LEO), something that has never been done before.",JMSatcat/11_19,2019
Spot 6,France,France/Belgium/Sweden,Spot Image,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,696,699,0.000212,98.2,98.73,720,,,9/9/2012,10.0,EADS Astrium,France/UK/Germany,Satish Dhawan Space Centre,PSLV,2012-047A,38755,Privately financed to complement the Pleiades 1A and 1B imaging spacecraft owned by French government.,SC  - ASCR,2012
Spot 7,France,France/Belgium/Sweden,Spot Image,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,643,660,0.00121,98.2,97.77,714,,,6/30/2014,10.0,Airbus Defense and Space,France/UK/Germany,Satish Dhawan Space Centre,PSLV-CA,2014-034A,40053,,ZARYA,2014
SPROUT,Japan,Japan,Nihon University,Civil,Technology Development,Unknown,LEO,Sun-Synchronous,0.0,614,629,0.00107,97.87,97.13,7,,,5/24/2014,0.0,Nihon University,Japan,Tanegashima Space Center,H2A,2014-029E,39770,,ZARYA,2014
SRMSat,India,India,SRM University,Civil,Technology Development,Unknown,LEO,Non-Polar Inclined,0.0,850,868,0.00124,20.0,102.1,11,,,10/12/2011,1.0,SRM University,India,Satish Dhawan Space Centre,PSLV,2011-058D,37841,To build a nanosatellite with a mass less than 10kg; to be launched by PSLV and to estimate the amount for atmospheric greenhouse gases; to provide hands on experience to the student and the faculty of SRM University in building small satellite; to develop a nanosatellite bus.,www.satellitedebris.net 12/12,2011
SSRS-1,NR (3/20),Sudan,Government of Sudan,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,485,505,0.00146,97.5,94.5,50,,,11/3/2019,0.0,Shenzhen Aerospace Oriental Red Sea Satellite Co.,China,Taiyuan Launch Center,Long March 4B,2019-072B,44704,Sudan's first satellite. Both government and military purposes.,JMSatcat/3_20,2019
SSOT,Chile,Chile,Chilean Air Force,Government/Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,622,624,0.000143,98.0,97.2,117,,,12/17/2011,0.0,Astrium,France,Guiana Space Center,Soyuz 2/Fregat,2011-076E,38011,"Extremely high-quality satellite images with applications such as mapping, agriculture, town planning, and natural resource, risk and disaster management.",www.satellitedebris.net 12/12,2011
SSTL-S1-4,United Kingdom,United Kingdom,Surrey Satellite Technology Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,574,591,0.00122,97.8,96.3,440,,,9/16/2018,0.0,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV,2018-071A,43618,"Will supply high-resolution imagery from the new satellite to 21AT, a company founded in China and now based in Singapore.",JMSatcat/11_18,2018
ST-2,NR,Singapore/Taiwan,Singapore Telecommunications Ltd. (SingTel)/Chunghwa Telecom Co. Ltd.,Commercial,Communications,Unknown,GEO,Unknown,87.99,"35,783","35,791",9.49e-05,0.02,1436.12,"5,090",,,5/20/2011,15.0,Mitsubishi Electric,Japan,Guiana Space Center,Ariane 5,2011-022B,37606,"Will replace ST1. Six antennas, 41 Ku-band tarnsponders and 10 C-band transponders.",JM/9_11,2011
Star 1 C1,Brazil,Brazil,Embratel Star One,Commercial,Communications,Unknown,GEO,Unknown,-64.98,"35,703","35,778",0.000891,0.03,1436,"4,100","1,750","10,500",11/14/2007,15.0,Thales Alenia Space,France,Guiana Space Center,Ariane 5,2007-056A,32293,"Has one X-band transponder for military use. 28 C-band and 16 Ku-band transponders, services to Brazil and neighboring countries.",JM/12_08,2007
Star 1 C2,Brazil,Brazil,Embratel Star One,Commercial,Communications,Unknown,GEO,Unknown,-69.93,"35,776","35,796",0.00023700000000000001,0.06,1436.1,"4,100","1,750",,4/18/2008,0.0,Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA,2008-018B,32768,"Has one X-band transponder for military use. 28 C-band and 16 Ku-band transponders, services to Brazil and neighboring countries.",JM/12_08,2008
Star 1 C3,Brazil,Brazil,Embratel Star One,Commercial,Communications,Unknown,GEO,Unknown,-75.0,"35,791","35,848",0.000676,0.02,1437.78,"3,225","1,402",,11/10/2012,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2012-062A,38991,"28 C-band, 16 Ku-band, entire South American region.",SC - ASCR ,2012
Star 1 C4,Brazil,Brazil,Embratel Star One,Commercial,Communications,Unknown,GEO,Unknown,-70.0,"35,786","35,801",0.000178,0.0,1436.1,"5,634",,"15,600",7/15/2015,15.0,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2015-034B,40733,48 transponders.,JM/8_15,2015
Star 1 D1,Brazil,Brazil,Embratel Star One,Commercial,Communications,Unknown,GEO,Unknown,-84.0,"35,741","35,777",0.00042699999999999997,0.0,1434.7,"6,433",,,12/21/2016,15.0,Space Systems/Loral,USA,Guiana Space Center,Ariane 5,2016-082B,41904,"Video and radio broadcasters, Internet service providers and direct-to-home television programming, satellite telephone calls, and high-speed data transmissions over Brazil, Mexico and other parts of Latin America.",JM/1_17,2016
Starlink-1240,NR (3/20),USA,SpaceX,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,549,551,0.000145,53.0,90.3,227,,,2/17/2020,0.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012S,45194,,JMSatcat/3_20,2020
StarLink Demo 1,USA,USA,SpaceX,Commercial,Communications,Unknown,LEO,Sun-Synchronous,0.0,500,516,0.00116,97.4,94.7,20,,,2/22/2018,2.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2018-020B,43216,"Testbeds for SpaceX's StarLink Internet broadband fleet - possibly over 7,000 satellites in constellation.",JMSatcat/5_18,2018
Starlink-1007,USA,USA,SpaceX,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,559,561,0.000144,53.0,95.9,227,,,11/11/2019,0.0,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074A,44713,Second launch of 60 satellites for SpaceX constellation.,Celestrak,2019
Starlink-1008,USA,USA,SpaceX,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,549,551,0.000145,53.0,95.6,227,,,11/11/2019,0.0,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074B,44714,,,2019
Starlink-1009,USA,USA,SpaceX,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,549,551,0.000145,53.0,95.5,227,,,11/11/2019,0.0,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074C,44715,,,2019
Starlink-1010,USA,USA,SpaceX,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,533,535,0.000145,53.0,95.3,227,,,11/11/2019,0.0,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074D,44716,,,2019
Starlink-1011,USA,USA,SpaceX,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,548,551,0.000217,53.0,95.6,227,,,11/11/2019,0.0,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074E,44717,,,2019
Starlink-1012,USA,USA,SpaceX,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,549,551,0.000145,53.0,95.6,227,,,11/11/2019,0.0,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074F,44718,,,2019
Starlink-1013,USA,USA,SpaceX,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,549,551,0.000145,53.0,95.6,227,,,11/11/2019,0.0,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074G,44719,,,2019
Starlink-1014,USA,USA,SpaceX,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,496,506,0.000728,53.0,94.6,227,,,11/11/2019,0.0,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074H,44720,,,2019
Starlink-1015,USA,USA,SpaceX,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,549,551,0.000145,53.0,95.6,227,,,11/11/2019,0.0,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074J,44721,,,2019
Starlink-1016,USA,USA,SpaceX,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,549,551,0.000145,53.0,95.6,227,,,11/11/2019,0.0,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074K,44722,,,2019
Starlink-1017,USA,USA,SpaceX,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,549,551,0.000145,53.0,95.6,227,,,11/11/2019,0.0,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074L,44723,,,2019
Starlink-1019,USA,USA,SpaceX,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,549,551,0.000145,53.0,95.6,227,,,11/11/2019,0.0,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074M,44724,,,2019
Starlink-1020,USA,USA,SpaceX,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,548,551,0.000217,53.0,95.6,227,,,11/11/2019,0.0,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074N,44725,,,2019
Starlink-1021,USA,USA,SpaceX,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,549,551,0.000145,53.0,95.6,227,,,11/11/2019,0.0,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074P,44726,,,2019
Starlink-1022,USA,USA,SpaceX,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,548,551,0.000217,53.0,95.6,227,,,11/11/2019,0.0,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074Q,44727,,,2019
Starlink-1023,USA,USA,SpaceX,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,559,561,0.000144,53.0,95.8,227,,,11/11/2019,0.0,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074R,44728,,,2019
Starlink-1024,USA,USA,SpaceX,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,548,551,0.000217,53.0,95.6,227,,,11/11/2019,0.0,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074S,44729,,,2019
Starlink-1025,USA,USA,SpaceX,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,549,551,0.000145,53.0,95.6,227,,,11/11/2019,0.0,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074T,44730,,,2019
Starlink-1026,USA,USA,SpaceX,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,549,550,7.23e-05,53.0,95.6,227,,,11/11/2019,0.0,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074U,44731,,,2019
Starlink-1027,USA,USA,SpaceX,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,569,571,0.000144,53.0,96,227,,,11/11/2019,0.0,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074V,44732,,,2019
Starlink-1028,USA,USA,SpaceX,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,549,551,0.000145,53.0,95.6,227,,,11/11/2019,0.0,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074W,44733,,,2019
Starlink-1029,USA,USA,SpaceX,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,383,390,0.000518,53.0,92.3,227,,,11/11/2019,0.0,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074X,44734,,,2019
