Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,Source Used for Orbital Data,Launch Year
USA 250,USA,USA,National Reconnaissance Office (NRO)/US Air Force,Military,Earth Observation,Electronic Intelligence,GEO,Unknown,0.0,"35,500","35,500",0.0,7.0,1436,"3,900",,,4/10/2014,0.0,Unknown,USA,Cape Canaveral,Atlas 5,2014-020A,39652,Speculated to be a new SIGINT satellite - not verified.,Approximate,2014
Meridian-3,Russia,Russia,Military Space Forces (VKS),Military,Communications,Unknown,Elliptical,Molniya,0.0,"2,253","38,105",0.675,62.85,645.98,"2,500",,,11/2/2010,0.0,PO Polyot,Russia,Plesetsk Cosmodrome,Soyuz 2.1a,2010-058A,37212,"Military communications - designed to replace Molniya and Parus spacecraft; this is the third of the series, first success.",WT,2010
Meridian-4,Russia,Russia,Military Space Forces (VKS),Military,Communications,Unknown,Elliptical,Molniya,0.0,"1,722","38,637",0.695,64.47,717.88,"2,500",,,5/4/2011,0.0,PO Polyot,Russia,Plesetsk Cosmodrome,Soyuz 2.1a,2011-018A,37398,Military communications - designed to replace Molniya and Parus spacecraft; this is the fourth of the series.,WT,2011
Meridian-6,Russia,Russia,Military Space Forces (VKS),Military,Communications,Unknown,Elliptical,Molniya,0.0,"1,494","38,860",0.7040000000000001,63.77,718.04,"2,500",,,11/14/2012,7.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2.1a,2012-063A,38995,Military communications - designed to replace Molniya and Parus spacecraft; this is the sixth of the series.,WT,2012
Meridian-7,Russia,Russia,Military Space Forces (VKS),Military,Communications,Unknown,Elliptical,Molniya,0.0,962,"39,398",0.7240000000000001,62.82,717.88,"2,500",,,10/30/2014,7.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2.1a,2014-069A,40296,Military communications - designed to replace Molniya and Parus spacecraft; this is the seventh of the series.,ZARYA,2014
Meridian-8,Russia,Russia,Military Space Forces (VKS),Military,Communications,Unknown,Elliptical,Molniya,0.0,986,"39,735",0.725,62.8,725.21,"2,500",,,7/30/2019,7.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2.1a,2019-046A,44453,Military communications - designed to replace Molniya and Parus spacecraft.,JMSatcat/11_19,2019
Meridian-9,NR (4/19),Russia,Military Space Forces (VKS),Military,Communications,Unknown,Elliptical,Molniya,0.0,"1,036","39,308",0.721,62.84,717.56,"2,500",,,2/20/2020,7.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2.1a,2020-015A,45254,Military communicatdions.,ZARYA,2020
Meshbed,NR (3/20),USA,Analytical Space,Government,Technology Development,Unknown,LEO,Unknown,0.0,499,517,0.00131,97.5,94.8,5,,,11/27/2019,0.0,Analytical Space,USA,Satish Dhawan Space Centre,PSLV,2019-081C,44806,Will test an experimental phased array antenna developed by MITRE.,JMSatcat/3_20,2019
Meteor-M 2.2,Russia,Russia,Russian Federal Service For Hydrometeorology and Environmental Monitoring (ROSHYDROMET),Government,Earth Observation,Meteorology,LEO,Sun-Synchronous,0.0,812,815,0.00020899999999999998,98.5,101.1,"2,900",,,7/5/2019,5.0,VNIIEM,Russia,Vostochny Cosmodrome,Soyuz 2.1b,2019-038A,44387,,JMSatcat/11_19,2019
Meteor-M N-2,Russia,Russia,Russian Federal Service For Hydrometeorology and Environmental Monitoring (ROSHYDROMET),Government,Earth Observation,Meteorology,LEO,Sun-Synchronous,0.0,819,828,0.0006259999999999999,98.81,101.3,"2,778",,,7/8/2014,5.0,VNIIEM,Russia,Baikonur Cosmodrome,Soyuz 2.1b,2014-037A,40069,Imaging meteorological satellite carrying a range of weather and climate sensors,ZARYA,2014
Meteosat 10,EUMETSAT,Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Observation,Earth Science/Meterology,GEO,Unknown,0.0,"35,784","35,791",8.3e-05,1.8,1436.15,"2,000",,,7/5/2012,7.0,Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA,2012-035B,38552,,ZARYA,2012
Meteosat 11,EUMETSAT,Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Observation,Earth Science/Meterology,GEO,Unknown,0.0,"35,791","35,795",4.74e-05,3.1,1436.1,"2,000","1,200",,7/15/2015,12.0,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5 ECA,2015-034A,40732,,JM/8_15,2015
Meteosat 8,EUMETSAT/ESA,Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Observation,Earth Science/Meterology,GEO,Unknown,41.5,"35,781","35,793",0.00014199999999999998,0.46,1436.1,"2,000","1,000",700,8/21/2002,12.0,Alcatel Space Industries,France,Guiana Space Center,Ariane 5,2002-040B,27509,Meteorological spacecraft; intended primarily to support the National Meteorological Services (NMS) of Member States; planned system of 3 satellites,JM/12_08,2002
Meteosat 9,EUMETSAT,Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Observation,Earth Science/Meterology,GEO,Unknown,-0.02,"35,775","35,795",0.00023700000000000001,0.29,1436,"2,000","1,000",700,12/21/2005,12.0,Alcatel Alenia Space,France/Italy,Guiana Space Center,Ariane 5G,2005-049B,28912,Meteorological spacecraft; intended primarily to support the National Meteorologicla Services (NMS) of Member States; planned system of 3 satellites.,JM/12_08,2005
MetOp-A,EUMETSAT,Multinational,ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),Government/Civil,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0.0,820,821,6.95e-05,98.7,101.3,"4,193","3,750",,10/19/2006,5.0,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Soyuz-Fregat(Soyuz 2),2006-044A,29499,First polar-orbiting European meteorological satellite.,www.satellitedebris.net 12/12,2006
MetOp-B,EUMETSAT,Multinational,ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),Government/Civil,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0.0,819,822,0.00020899999999999998,98.7,101.3,"4,085",,,9/17/2012,5.0,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Soyuz 2.1a,2012-049A,38771,,SC - ASCR,2012
